BusinessEntityID,NationalIDNumber,LoginID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
1,295847284,adventure-works\ken0,,Chief Executive Officer,1969-01-29,S,M,2009-01-14,True,99,69,True,2014-06-30 00:00:00
2,245797967,adventure-works\terri0,1,Vice President of Engineering,1971-08-01,S,F,2008-01-31,True,1,20,True,2014-06-30 00:00:00
3,509647174,adventure-works\roberto0,2,Engineering Manager,1974-11-12,M,M,2007-11-11,True,2,21,True,2014-06-30 00:00:00
4,112457891,adventure-works\rob0,3,Senior Tool Designer,1974-12-23,S,M,2007-12-05,False,48,80,True,2014-06-30 00:00:00
5,695256908,adventure-works\gail0,3,Design Engineer,1952-09-27,M,F,2008-01-06,True,5,22,True,2014-06-30 00:00:00
6,998320692,adventure-works\jossef0,3,Design Engineer,1959-03-11,M,M,2008-01-24,True,6,23,True,2014-06-30 00:00:00
7,134969118,adventure-works\dylan0,3,Research and Development Manager,1987-02-24,M,M,2009-02-08,True,61,50,True,2014-06-30 00:00:00
8,811994146,adventure-works\diane1,4,Research and Development Engineer,1986-06-05,S,F,2008-12-29,True,62,51,True,2014-06-30 00:00:00
9,658797903,adventure-works\gigi0,4,Research and Development Engineer,1979-01-21,M,F,2009-01-16,True,63,51,True,2014-06-30 00:00:00
10,879342154,adventure-works\michael6,4,Research and Development Manager,1984-11-30,M,M,2009-05-03,True,16,64,True,2014-06-30 00:00:00
