BusinessEntityID,NationalIDNumber,LoginID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
181,545337468,adventure-works\michael0,4,Production Technician - WC20,1984-11-17,S,M,2008-12-09,False,20,30,True,2014-06-30 00:00:00
182,368920189,adventure-works\nitin0,4,Production Technician - WC20,1986-12-01,S,M,2008-12-28,False,21,30,True,2014-06-30 00:00:00
183,969985265,adventure-works\barbara0,4,Production Technician - WC20,1979-07-02,M,F,2009-01-22,False,17,28,True,2014-06-30 00:00:00
184,305522471,adventure-works\john2,4,Production Technician - WC20,1986-04-05,M,M,2009-02-09,False,18,29,True,2014-06-30 00:00:00
185,621932914,adventure-works\stefen0,4,Production Technician - WC20,1975-12-21,S,M,2009-02-28,False,19,29,True,2014-06-30 00:00:00
186,551834634,adventure-works\shane0,3,Production Supervisor - WC45,1990-05-24,S,M,2009-02-08,False,75,57,True,2014-06-30 00:00:00
187,713403643,adventure-works\yvonne0,4,Production Technician - WC45,1989-04-15,M,F,2008-12-09,False,79,59,True,2014-06-30 00:00:00
188,435234965,adventure-works\douglas0,4,Production Technician - WC45,1985-11-24,M,M,2008-12-27,False,80,60,True,2014-06-30 00:00:00
189,187369436,adventure-works\janeth0,4,Production Technician - WC45,1972-07-24,S,F,2009-01-15,False,81,60,True,2014-06-30 00:00:00
190,456839592,adventure-works\robert0,4,Production Technician - WC45,1985-02-28,S,M,2009-02-02,False,82,61,True,2014-06-30 00:00:00
191,399658727,adventure-works\lionel0,4,Production Technician - WC45,1988-03-14,S,M,2009-02-26,False,78,59,True,2014-06-30 00:00:00
192,634335025,adventure-works\brenda0,3,Production Supervisor - WC40,1983-02-28,M,F,2009-03-05,False,71,55,True,2014-06-30 00:00:00
193,761597760,adventure-works\alejandro0,4,Production Technician - WC40,1988-12-05,S,M,2008-12-06,False,52,46,True,2014-06-30 00:00:00
194,295971920,adventure-works\fred0,4,Production Technician - WC40,1989-06-25,S,M,2008-12-12,False,47,43,True,2014-06-30 00:00:00
195,918737118,adventure-works\kevin1,4,Production Technician - WC40,1985-12-25,S,M,2008-12-17,False,58,49,True,2014-06-30 00:00:00
196,370487086,adventure-works\shammi0,4,Production Technician - WC40,1980-10-04,M,M,2008-12-24,False,53,46,True,2014-06-30 00:00:00
197,632092621,adventure-works\rajesh0,4,Production Technician - WC40,1977-10-04,M,M,2008-12-31,False,48,44,True,2014-06-30 00:00:00
198,19312190,adventure-works\lorraine0,4,Production Technician - WC40,1988-11-26,M,F,2009-01-04,False,49,44,True,2014-06-30 00:00:00
199,992874797,adventure-works\paula1,4,Production Technician - WC40,1987-02-10,M,F,2009-01-12,False,54,47,True,2014-06-30 00:00:00
200,749211824,adventure-works\frank0,4,Production Technician - WC40,1987-09-06,M,M,2009-01-17,False,56,48,True,2014-06-30 00:00:00
201,746201340,adventure-works\brian0,4,Production Technician - WC40,1977-02-10,S,M,2009-01-29,False,55,47,True,2014-06-30 00:00:00
202,436757988,adventure-works\tawana0,4,Production Technician - WC40,1989-11-10,S,M,2009-02-05,False,50,45,True,2014-06-30 00:00:00
203,693168613,adventure-works\ken1,4,Production Technician - WC40,1981-05-28,M,M,2009-02-24,False,51,45,True,2014-06-30 00:00:00
204,440379437,adventure-works\gabe0,4,Production Technician - WC40,1988-05-10,M,M,2009-03-08,False,57,48,True,2014-06-30 00:00:00
205,332349500,adventure-works\lori0,3,Production Supervisor - WC45,1980-07-18,S,F,2009-02-26,False,76,58,True,2014-06-30 00:00:00
206,835460180,adventure-works\stuart0,4,Production Technician - WC45,1962-09-13,S,M,2008-12-02,False,84,62,True,2014-06-30 00:00:00
207,687685941,adventure-works\greg0,4,Production Technician - WC45,1970-10-18,S,M,2008-12-02,False,85,62,True,2014-06-30 00:00:00
208,199546871,adventure-works\scott0,4,Production Technician - WC45,1987-02-10,M,M,2009-01-08,False,86,63,True,2014-06-30 00:00:00
209,167554340,adventure-works\kathie0,4,Production Technician - WC45,1990-11-01,M,F,2009-01-27,False,87,63,True,2014-06-30 00:00:00
210,20244403,adventure-works\belinda0,4,Production Technician - WC45,1969-09-17,S,F,2009-02-20,False,83,61,True,2014-06-30 00:00:00
211,398223854,adventure-works\hazem0,2,Quality Assurance Manager,1977-10-26,S,M,2009-02-28,True,80,60,True,2014-12-26 09:17:08.637000
212,885055826,adventure-works\peng0,3,Quality Assurance Supervisor,1976-03-18,M,M,2008-12-09,True,81,60,True,2014-06-30 00:00:00
213,343861179,adventure-works\sootha0,4,Quality Assurance Technician,1966-12-05,M,M,2010-02-23,False,85,62,True,2014-06-30 00:00:00
214,131471224,adventure-works\andreas0,4,Quality Assurance Technician,1989-03-28,M,M,2009-02-02,False,84,62,True,2014-06-30 00:00:00
215,381772114,adventure-works\mark0,4,Quality Assurance Technician,1986-04-30,S,M,2009-01-15,False,83,61,True,2014-06-30 00:00:00
216,403414852,adventure-works\sean0,4,Quality Assurance Technician,1976-03-06,S,M,2008-12-28,False,82,61,True,2014-06-30 00:00:00
217,345106466,adventure-works\zainal0,3,Document Control Manager,1976-01-30,M,M,2009-01-04,False,77,58,True,2014-06-30 00:00:00
218,540688287,adventure-works\tengiz0,4,Control Specialist,1990-04-28,S,M,2008-12-16,False,76,58,True,2014-06-30 00:00:00
219,242381745,adventure-works\sean1,4,Document Control Assistant,1987-03-12,S,M,2009-01-22,False,78,59,True,2014-06-30 00:00:00
220,260770918,adventure-works\karen0,4,Document Control Assistant,1975-12-25,M,F,2009-02-09,False,79,59,True,2014-06-30 00:00:00
